"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"18551_at","18551_at",0.0591949524663441,0.000539261066374999,3.98496568193653,-0.13296798223949,0.346867386543685,18551
"14369_at","14369_at",0.0593546794339023,0.000545148265409945,-3.98068345201284,-0.142753604192441,-0.152429807438593,14369
"67547_at","67547_at",0.0607751686189493,0.000562733042768049,-3.96815962308682,-0.171364198746729,-0.11020417835439,67547
"66082_at","66082_at",0.0608940507090005,0.000573717927940629,3.96053101214257,-0.188785400756124,0.118715771168217,66082
"15205_at","15205_at",0.0608940507090005,0.000573837756699381,-3.96044859361296,-0.188973590743641,-0.169004589852432,15205
"22169_at","22169_at",0.0608940507090005,0.000577474943252917,-3.95795498517685,-0.194667091504684,-0.168366277416615,22169
"74152_at","74152_at",0.061208514075294,0.000585027613622882,-3.95282616229414,-0.206375766554726,-0.104807549000958,74152
"74246_at","74246_at",0.0617574362562143,0.000597906909080749,-3.94422919402643,-0.225996901739099,-0.282674337504706,74246
"270166_at","270166_at",0.0617574362562143,0.000599497215748795,-3.9431803708844,-0.228390228909947,-0.17773194418924,270166
"69638_at","69638_at",0.062829719733206,0.000614873408981517,-3.93317903107886,-0.251207633982736,-0.268088793733227,69638
"99382_at","99382_at",0.062829719733206,0.00061928935220902,-3.93035233747626,-0.257654954673002,-0.275000648529434,99382
"16774_at","16774_at",0.0668502544372363,0.000668180272294375,-3.90032211481393,-0.32610528076339,-0.273672269556234,16774
"224833_at","224833_at",0.0668502544372363,0.000668901888783577,-3.89989531236404,-0.327077524256677,-0.16197695273544,224833
"170458_at","170458_at",0.0683510602919819,0.00068902278520143,3.88817411577684,-0.353771291536063,0.177672113314027,170458
"15903_at","15903_at",0.0696724459467461,0.000707545747368389,-3.87767847365572,-0.377662733634219,-0.114883404426272,15903
"14287_at","14287_at",0.0698042115355617,0.000714096250027775,-3.87403151664873,-0.385961845005991,-0.145928313799244,14287
"69134_at","69134_at",0.0728396620351131,0.00075058791523638,-3.85429981529288,-0.430840712443604,-0.0898169596700691,69134
"13123_at","13123_at",0.0743972856938153,0.000772194049540049,-3.84305793141146,-0.456392054937944,-0.257798327836699,13123
"234725_at","234725_at",0.0751286744683257,0.000790752495761238,3.83364649172219,-0.477772846197077,0.150331794632921,234725
"209760_at","209760_at",0.0751286744683257,0.000791005309142319,3.8335197917489,-0.478060617485135,0.157530441988887,209760
"70575_at","70575_at",0.0751930208899452,0.000797297563199837,-3.83037914816115,-0.48519335412181,-0.159280359622453,70575
"19716_at","19716_at",0.075703715472167,0.000808365540062715,3.82491357614541,-0.497603723609929,0.349979130261898,19716
"50798_at","50798_at",0.0757358063496255,0.000814363509135758,3.82198237720048,-0.504258102056212,0.0954112072478024,50798
"228357_at","228357_at",0.0762018007241464,0.000825064299955289,3.81680531810899,-0.516008720935087,0.180127215946215,228357
"67430_at","67430_at",0.0776854399316171,0.000851375634978253,3.80435174306781,-0.544263082731433,0.15139062695065,67430
"55985_at","55985_at",0.0776854399316171,0.000852729963407087,-3.80372101291973,-0.545693607558009,-0.41973536010296,55985
"54720_at","54720_at",0.0782465381259189,0.000864731753482378,3.79817429999864,-0.558271875785587,0.140391457813766,54720
"11931_at","11931_at",0.0788147629186661,0.000876896630442149,3.79262898925284,-0.570843476130225,0.0986010088061637,11931
"21938_at","21938_at",0.0799628434374859,0.000895641167534564,3.78423081021807,-0.589876011438307,0.136068099683452,21938
"16658_at","16658_at",0.0806621358284967,0.000909496901889411,3.77813338141363,-0.603689303383037,0.117881078609036,16658
"11865_at","11865_at",0.08168094277932,0.000927083579932545,-3.77052433998723,-0.620920926655141,-0.55703043682291,11865
"211401_at","211401_at",0.0823608533552911,0.000940950609569858,3.76462405980827,-0.634278119606365,0.126777995846508,211401
"381534_at","381534_at",0.0833604364622179,0.000958595222161108,-3.75723884120215,-0.650991065921708,-0.306610625359465,381534
"16154_at","16154_at",0.0842919111001998,0.000978759819707224,-3.74896074360955,-0.669716753414061,-0.17408034000685,16154
"18627_at","18627_at",0.0842919111001998,0.000985202917316559,3.7463509871398,-0.67561848039778,0.404950134716906,18627
"54634_at","54634_at",0.0842919111001998,0.000988189220634063,-3.74514707744004,-0.678340729608403,-0.179756990497749,54634
"19252_at","19252_at",0.0843439907240324,0.00100252247611186,-3.73941802256172,-0.691292657465051,-0.107940649517031,19252
